,neg,neu,pos,compound
377,0.208,0.792,0.0,-0.4389
378,0.0,0.27,0.73,0.7959
379,0.0,0.517,0.483,0.4215
380,0.0,1.0,0.0,0.0
381,0.0,0.613,0.387,0.802
382,0.0,1.0,0.0,0.0
383,0.0,0.714,0.286,0.4215
384,0.135,0.627,0.238,0.5106
385,0.147,0.675,0.178,0.128
386,0.0,1.0,0.0,0.0
387,0.076,0.686,0.238,0.5423
388,0.0,0.868,0.132,0.3804
389,0.0,0.584,0.416,0.9079
390,0.0,0.806,0.194,0.6249
391,0.0,0.0,1.0,0.6486
392,0.0,0.0,1.0,0.296
393,0.0,1.0,0.0,0.0
394,0.0,0.837,0.163,0.5413
395,0.375,0.625,0.0,-0.5859
396,0.0,0.791,0.209,0.4404
397,0.0,1.0,0.0,0.0
398,0.0,1.0,0.0,0.0
399,0.0,0.692,0.308,0.5994
400,0.0,1.0,0.0,0.0
401,0.202,0.673,0.125,-0.1531
402,0.0,1.0,0.0,0.0
403,0.156,0.844,0.0,-0.34
404,0.0,0.872,0.128,0.2975
405,0.195,0.581,0.224,0.1779
406,0.0,0.602,0.398,0.8221
407,0.302,0.698,0.0,-0.0772
408,0.0,0.679,0.321,0.7297
409,0.0,0.752,0.248,0.6467
410,0.08,0.768,0.151,0.303
411,0.0,0.433,0.567,0.8881
412,0.0,0.642,0.358,0.8591
413,0.051,0.331,0.618,0.9468
414,0.195,0.805,0.0,-0.1759
415,0.0,0.877,0.123,0.4215
416,0.0,1.0,0.0,0.0
417,0.0,1.0,0.0,0.0
418,0.0,0.609,0.391,0.873
419,0.0,0.661,0.339,0.802
420,0.0,1.0,0.0,0.0
421,0.0,1.0,0.0,0.0
422,0.0,0.549,0.451,0.6249
423,0.0,1.0,0.0,0.0
424,0.207,0.793,0.0,-0.5267
425,0.0,1.0,0.0,0.0
426,0.0,0.878,0.122,0.3612
427,0.0,0.761,0.239,0.5727
428,0.0,0.789,0.211,0.5893
429,0.0,0.867,0.133,0.4995
430,0.162,0.743,0.095,-0.25
431,0.055,0.575,0.369,0.7964
432,0.119,0.695,0.186,0.2811
433,0.142,0.515,0.343,0.7658
434,0.0,0.671,0.329,0.7814
435,0.145,0.855,0.0,-0.296
436,0.12,0.66,0.219,0.5499
437,0.0,1.0,0.0,0.0
438,0.0,0.795,0.205,0.6597
439,0.0,1.0,0.0,0.0
440,0.0,0.779,0.221,0.5707
441,0.131,0.633,0.236,0.126
442,0.0,1.0,0.0,0.0
443,0.0,0.524,0.476,0.8398
444,0.0,0.816,0.184,0.4019
445,0.0,0.882,0.118,0.0516
446,0.0,0.844,0.156,0.3802
447,0.0,0.71,0.29,0.5411
448,0.0,1.0,0.0,0.0
449,0.0,0.762,0.238,0.7125
450,0.0,0.5,0.5,0.8398
451,0.0,0.736,0.264,0.7269
452,0.0,0.571,0.429,0.4588
453,0.0,1.0,0.0,0.0
454,0.231,0.652,0.117,-0.383
455,0.0,0.406,0.594,0.6588
